ID,Name,Quantity
19700,Mithril Ore,2368
19729,Thick Leather Section,1242
19732,Hardened Leather Section,359
19745,Gossamer Scrap,471
19748,Silk Scrap,1605
24276,Pile of Incandescent Dust,296
24277,Pile of Crystalline Dust,90
24282,Potent Venom Sac,318
24283,Powerful Venom Sac,80
24288,Large Scale,344
24289,Armored Scale,88
24294,Vial of Potent Blood,324
24295,Vial of Powerful Blood,94
24299,Intricate Totem,313
24300,Elaborate Totem,79
24304,Charged Core,7
24305,Charged Lodestone,2
24309,Onyx Core,5
24310,Onyx Lodestone,1
24314,Molten Core,6
24315,Molten Lodestone,1
24319,Glacial Core,1
24320,Glacial Lodestone,1
24324,Destroyer Core,6
24325,Destroyer Lodestone,1
24329,Crystal Core,7
24334,Pile of Vile Essence,6
24339,Corrupted Core,10
24340,Corrupted Lodestone,1
24341,Large Bone,330
24350,Large Claw,335
24351,Vicious Claw,79
24356,Large Fang,317
24357,Vicious Fang,82
24358,Ancient Bone,71
