ID,Name,Quantity
19700,Mithril Ore,3071
19729,Thick Leather Section,1618
19732,Hardened Leather Section,470
19745,Gossamer Scrap,640
19748,Silk Scrap,2042
24276,Pile of Incandescent Dust,396
24277,Pile of Crystalline Dust,124
24282,Potent Venom Sac,407
24283,Powerful Venom Sac,99
24288,Large Scale,423
24289,Armored Scale,97
24294,Vial of Potent Blood,431
24295,Vial of Powerful Blood,102
24299,Intricate Totem,430
24300,Elaborate Totem,107
24304,Charged Core,8
24305,Charged Lodestone,1
24309,Onyx Core,8
24310,Onyx Lodestone,1
24314,Molten Core,6
24315,Molten Lodestone,1
24319,Glacial Core,17
24320,Glacial Lodestone,2
24324,Destroyer Core,11
24325,Destroyer Lodestone,1
24329,Crystal Core,16
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,7
24335,Pile of Putrid Essence,1
24339,Corrupted Core,12
24340,Corrupted Lodestone,3
24341,Large Bone,401
24350,Large Claw,400
24351,Vicious Claw,102
24356,Large Fang,396
24357,Vicious Fang,93
24358,Ancient Bone,106
