ID,Name,Quantity
19700,Mithril Ore,5131
19729,Thick Leather Section,2553
19732,Hardened Leather Section,783
19745,Gossamer Scrap,1042
19748,Silk Scrap,3560
24276,Pile of Incandescent Dust,700
24277,Pile of Crystalline Dust,180
24282,Potent Venom Sac,686
24283,Powerful Venom Sac,167
24288,Large Scale,672
24289,Armored Scale,170
24294,Vial of Potent Blood,737
24295,Vial of Powerful Blood,182
24299,Intricate Totem,676
24300,Elaborate Totem,188
24304,Charged Core,20
24305,Charged Lodestone,2
24309,Onyx Core,12
24310,Onyx Lodestone,2
24314,Molten Core,12
24315,Molten Lodestone,3
24319,Glacial Core,9
24320,Glacial Lodestone,2
24324,Destroyer Core,18
24325,Destroyer Lodestone,11
24329,Crystal Core,17
24330,Crystal Lodestone,3
24334,Pile of Vile Essence,17
24335,Pile of Putrid Essence,2
24339,Corrupted Core,16
24340,Corrupted Lodestone,1
24341,Large Bone,644
24350,Large Claw,716
24351,Vicious Claw,178
24356,Large Fang,667
24357,Vicious Fang,185
24358,Ancient Bone,154
