ID,Name,Quantity
19700,Mithril Ore,703
19729,Thick Leather Section,345
19732,Hardened Leather Section,133
19745,Gossamer Scrap,151
19748,Silk Scrap,425
24276,Pile of Incandescent Dust,85
24277,Pile of Crystalline Dust,24
24282,Potent Venom Sac,87
24283,Powerful Venom Sac,20
24288,Large Scale,83
24289,Armored Scale,21
24294,Vial of Potent Blood,98
24295,Vial of Powerful Blood,26
24299,Intricate Totem,92
24300,Elaborate Totem,24
24304,Charged Core,2
24305,Charged Lodestone,1
24314,Molten Core,3
24319,Glacial Core,2
24329,Crystal Core,1
24334,Pile of Vile Essence,3
24339,Corrupted Core,3
24341,Large Bone,83
24350,Large Claw,108
24351,Vicious Claw,20
24356,Large Fang,101
24357,Vicious Fang,25
24358,Ancient Bone,16
