ID,Name,Quantity
19700,Mithril Ore,12346
19729,Thick Leather Section,6181
19732,Hardened Leather Section,1881
19745,Gossamer Scrap,2536
19748,Silk Scrap,8336
24276,Pile of Incandescent Dust,1682
24277,Pile of Crystalline Dust,401
24282,Potent Venom Sac,1685
24283,Powerful Venom Sac,373
24288,Large Scale,1759
24289,Armored Scale,417
24294,Vial of Potent Blood,1705
24295,Vial of Powerful Blood,418
24299,Intricate Totem,1660
24300,Elaborate Totem,417
24304,Charged Core,32
24305,Charged Lodestone,7
24309,Onyx Core,35
24310,Onyx Lodestone,8
24314,Molten Core,27
24315,Molten Lodestone,11
24319,Glacial Core,45
24320,Glacial Lodestone,5
24324,Destroyer Core,39
24325,Destroyer Lodestone,2
24329,Crystal Core,45
24330,Crystal Lodestone,7
24334,Pile of Vile Essence,43
24335,Pile of Putrid Essence,4
24339,Corrupted Core,49
24340,Corrupted Lodestone,6
24341,Large Bone,1641
24350,Large Claw,1648
24351,Vicious Claw,377
24356,Large Fang,1637
24357,Vicious Fang,374
24358,Ancient Bone,391
