ID,Name,Quantity
19700,Mithril Ore,6221
19729,Thick Leather Section,3045
19732,Hardened Leather Section,905
19745,Gossamer Scrap,1228
19748,Silk Scrap,4166
24276,Pile of Incandescent Dust,837
24277,Pile of Crystalline Dust,183
24282,Potent Venom Sac,862
24283,Powerful Venom Sac,215
24288,Large Scale,847
24289,Armored Scale,227
24294,Vial of Potent Blood,803
24295,Vial of Powerful Blood,191
24299,Intricate Totem,854
24300,Elaborate Totem,209
24304,Charged Core,18
24305,Charged Lodestone,2
24309,Onyx Core,26
24310,Onyx Lodestone,1
24314,Molten Core,21
24315,Molten Lodestone,1
24319,Glacial Core,15
24320,Glacial Lodestone,2
24324,Destroyer Core,18
24325,Destroyer Lodestone,4
24329,Crystal Core,13
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,17
24335,Pile of Putrid Essence,4
24339,Corrupted Core,25
24340,Corrupted Lodestone,5
24341,Large Bone,850
24350,Large Claw,788
24351,Vicious Claw,233
24356,Large Fang,820
24357,Vicious Fang,196
24358,Ancient Bone,218
