ID,Name,Quantity
19700,Mithril Ore,2750
19729,Thick Leather Section,1440
19732,Hardened Leather Section,434
19745,Gossamer Scrap,535
19748,Silk Scrap,1876
24276,Pile of Incandescent Dust,367
24277,Pile of Crystalline Dust,96
24282,Potent Venom Sac,330
24283,Powerful Venom Sac,87
24288,Large Scale,363
24289,Armored Scale,86
24294,Vial of Potent Blood,396
24295,Vial of Powerful Blood,85
24299,Intricate Totem,384
24300,Elaborate Totem,72
24304,Charged Core,10
24309,Onyx Core,7
24310,Onyx Lodestone,1
24314,Molten Core,10
24315,Molten Lodestone,1
24319,Glacial Core,8
24324,Destroyer Core,10
24325,Destroyer Lodestone,2
24329,Crystal Core,5
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,6
24335,Pile of Putrid Essence,3
24339,Corrupted Core,5
24340,Corrupted Lodestone,1
24341,Large Bone,363
24350,Large Claw,387
24351,Vicious Claw,101
24356,Large Fang,345
24357,Vicious Fang,90
24358,Ancient Bone,76
