ID,Name,Quantity
19700,Mithril Ore,2596
19729,Thick Leather Section,1226
19732,Hardened Leather Section,376
19745,Gossamer Scrap,523
19748,Silk Scrap,1811
24276,Pile of Incandescent Dust,373
24277,Pile of Crystalline Dust,82
24282,Potent Venom Sac,338
24283,Powerful Venom Sac,95
24288,Large Scale,359
24289,Armored Scale,112
24294,Vial of Potent Blood,340
24295,Vial of Powerful Blood,82
24299,Intricate Totem,323
24300,Elaborate Totem,72
24304,Charged Core,9
24305,Charged Lodestone,1
24309,Onyx Core,5
24310,Onyx Lodestone,3
24314,Molten Core,10
24319,Glacial Core,9
24320,Glacial Lodestone,2
24324,Destroyer Core,13
24329,Crystal Core,14
24334,Pile of Vile Essence,6
24339,Corrupted Core,4
24341,Large Bone,314
24350,Large Claw,345
24351,Vicious Claw,94
24356,Large Fang,360
24357,Vicious Fang,91
24358,Ancient Bone,86
