ID,Name,Quantity
19700,Mithril Ore,5012
19729,Thick Leather Section,2366
19732,Hardened Leather Section,653
19745,Gossamer Scrap,957
19748,Silk Scrap,3150
24276,Pile of Incandescent Dust,652
24277,Pile of Crystalline Dust,153
24282,Potent Venom Sac,616
24283,Powerful Venom Sac,150
24288,Large Scale,632
24289,Armored Scale,150
24294,Vial of Potent Blood,654
24295,Vial of Powerful Blood,175
24299,Intricate Totem,626
24300,Elaborate Totem,172
24304,Charged Core,12
24305,Charged Lodestone,3
24309,Onyx Core,16
24310,Onyx Lodestone,4
24314,Molten Core,11
24315,Molten Lodestone,1
24319,Glacial Core,19
24320,Glacial Lodestone,2
24324,Destroyer Core,14
24325,Destroyer Lodestone,4
24329,Crystal Core,21
24330,Crystal Lodestone,4
24334,Pile of Vile Essence,21
24335,Pile of Putrid Essence,3
24339,Corrupted Core,15
24340,Corrupted Lodestone,4
24341,Large Bone,638
24350,Large Claw,655
24351,Vicious Claw,154
24356,Large Fang,677
24357,Vicious Fang,148
24358,Ancient Bone,158
