ID,Name,Quantity
19700,Mithril Ore,2075
19729,Thick Leather Section,1050
19732,Hardened Leather Section,328
19745,Gossamer Scrap,386
19748,Silk Scrap,1330
24276,Pile of Incandescent Dust,289
24277,Pile of Crystalline Dust,63
24282,Potent Venom Sac,290
24283,Powerful Venom Sac,62
24288,Large Scale,282
24289,Armored Scale,80
24294,Vial of Potent Blood,258
24295,Vial of Powerful Blood,69
24299,Intricate Totem,276
24300,Elaborate Totem,74
24304,Charged Core,11
24309,Onyx Core,3
24310,Onyx Lodestone,2
24314,Molten Core,5
24315,Molten Lodestone,1
24319,Glacial Core,9
24324,Destroyer Core,8
24325,Destroyer Lodestone,2
24329,Crystal Core,5
24334,Pile of Vile Essence,7
24335,Pile of Putrid Essence,2
24339,Corrupted Core,5
24340,Corrupted Lodestone,1
24341,Large Bone,277
24350,Large Claw,286
24351,Vicious Claw,59
24356,Large Fang,248
24357,Vicious Fang,69
24358,Ancient Bone,69
