ID,Name,Quantity
19700,Mithril Ore,5132
19729,Thick Leather Section,2476
19732,Hardened Leather Section,719
19745,Gossamer Scrap,1073
19748,Silk Scrap,3108
24276,Pile of Incandescent Dust,713
24277,Pile of Crystalline Dust,152
24282,Potent Venom Sac,677
24283,Powerful Venom Sac,159
24288,Large Scale,621
24289,Armored Scale,151
24294,Vial of Potent Blood,629
24295,Vial of Powerful Blood,160
24299,Intricate Totem,651
24300,Elaborate Totem,155
24304,Charged Core,20
24305,Charged Lodestone,3
24309,Onyx Core,17
24310,Onyx Lodestone,1
24314,Molten Core,19
24315,Molten Lodestone,3
24319,Glacial Core,11
24324,Destroyer Core,22
24325,Destroyer Lodestone,3
24329,Crystal Core,15
24330,Crystal Lodestone,3
24334,Pile of Vile Essence,12
24335,Pile of Putrid Essence,5
24339,Corrupted Core,6
24340,Corrupted Lodestone,4
24341,Large Bone,667
24350,Large Claw,737
24351,Vicious Claw,169
24356,Large Fang,722
24357,Vicious Fang,179
24358,Ancient Bone,181
