ID,Name,Quantity
19700,Mithril Ore,8863
19729,Thick Leather Section,4331
19732,Hardened Leather Section,1277
19745,Gossamer Scrap,1681
19748,Silk Scrap,5894
24276,Pile of Incandescent Dust,1115
24277,Pile of Crystalline Dust,272
24282,Potent Venom Sac,1195
24283,Powerful Venom Sac,304
24288,Large Scale,1146
24289,Armored Scale,271
24294,Vial of Potent Blood,1152
24295,Vial of Powerful Blood,279
24299,Intricate Totem,1142
24300,Elaborate Totem,281
24304,Charged Core,29
24305,Charged Lodestone,6
24309,Onyx Core,39
24310,Onyx Lodestone,6
24314,Molten Core,25
24315,Molten Lodestone,7
24319,Glacial Core,23
24320,Glacial Lodestone,8
24324,Destroyer Core,17
24325,Destroyer Lodestone,3
24329,Crystal Core,24
24330,Crystal Lodestone,6
24334,Pile of Vile Essence,25
24335,Pile of Putrid Essence,3
24339,Corrupted Core,19
24340,Corrupted Lodestone,3
24341,Large Bone,1109
24350,Large Claw,1138
24351,Vicious Claw,278
24356,Large Fang,1084
24357,Vicious Fang,268
24358,Ancient Bone,313
