ID,Name,Quantity
19700,Mithril Ore,1998
19729,Thick Leather Section,1008
19732,Hardened Leather Section,294
19745,Gossamer Scrap,458
19748,Silk Scrap,1441
24276,Pile of Incandescent Dust,286
24277,Pile of Crystalline Dust,63
24282,Potent Venom Sac,303
24283,Powerful Venom Sac,72
24288,Large Scale,264
24289,Armored Scale,80
24294,Vial of Potent Blood,293
24295,Vial of Powerful Blood,72
24299,Intricate Totem,267
24300,Elaborate Totem,66
24304,Charged Core,4
24305,Charged Lodestone,2
24309,Onyx Core,5
24310,Onyx Lodestone,1
24314,Molten Core,10
24315,Molten Lodestone,4
24319,Glacial Core,6
24320,Glacial Lodestone,1
24324,Destroyer Core,6
24329,Crystal Core,12
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,9
24335,Pile of Putrid Essence,1
24339,Corrupted Core,9
24341,Large Bone,259
24350,Large Claw,264
24351,Vicious Claw,64
24356,Large Fang,275
24357,Vicious Fang,74
24358,Ancient Bone,75
