ID,Name,Quantity
19700,Mithril Ore,5448
19729,Thick Leather Section,2844
19732,Hardened Leather Section,872
19745,Gossamer Scrap,1191
19748,Silk Scrap,3608
24276,Pile of Incandescent Dust,695
24277,Pile of Crystalline Dust,185
24282,Potent Venom Sac,732
24283,Powerful Venom Sac,169
24288,Large Scale,775
24289,Armored Scale,190
24294,Vial of Potent Blood,744
24295,Vial of Powerful Blood,179
24299,Intricate Totem,709
24300,Elaborate Totem,172
24304,Charged Core,10
24305,Charged Lodestone,6
24309,Onyx Core,16
24310,Onyx Lodestone,1
24314,Molten Core,15
24315,Molten Lodestone,1
24319,Glacial Core,17
24320,Glacial Lodestone,1
24324,Destroyer Core,18
24325,Destroyer Lodestone,5
24329,Crystal Core,16
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,20
24335,Pile of Putrid Essence,5
24339,Corrupted Core,16
24340,Corrupted Lodestone,3
24341,Large Bone,739
24350,Large Claw,782
24351,Vicious Claw,186
24356,Large Fang,751
24357,Vicious Fang,186
24358,Ancient Bone,180
