ID,Name,Quantity
19700,Mithril Ore,8192
19729,Thick Leather Section,4227
19732,Hardened Leather Section,1228
19745,Gossamer Scrap,1623
19748,Silk Scrap,5612
24276,Pile of Incandescent Dust,1150
24277,Pile of Crystalline Dust,266
24282,Potent Venom Sac,1114
24283,Powerful Venom Sac,290
24288,Large Scale,1100
24289,Armored Scale,291
24294,Vial of Potent Blood,1103
24295,Vial of Powerful Blood,272
24299,Intricate Totem,1039
24300,Elaborate Totem,298
24304,Charged Core,30
24305,Charged Lodestone,1
24309,Onyx Core,31
24310,Onyx Lodestone,4
24314,Molten Core,30
24315,Molten Lodestone,3
24319,Glacial Core,19
24320,Glacial Lodestone,1
24324,Destroyer Core,20
24325,Destroyer Lodestone,3
24329,Crystal Core,20
24330,Crystal Lodestone,3
24334,Pile of Vile Essence,25
24335,Pile of Putrid Essence,8
24339,Corrupted Core,36
24340,Corrupted Lodestone,4
24341,Large Bone,1109
24350,Large Claw,1099
24351,Vicious Claw,258
24356,Large Fang,1071
24357,Vicious Fang,244
24358,Ancient Bone,281
