ID,Name,Quantity
19700,Mithril Ore,3890
19729,Thick Leather Section,1961
19732,Hardened Leather Section,578
19745,Gossamer Scrap,765
19748,Silk Scrap,2609
24276,Pile of Incandescent Dust,487
24277,Pile of Crystalline Dust,129
24282,Potent Venom Sac,484
24283,Powerful Venom Sac,139
24288,Large Scale,515
24289,Armored Scale,121
24294,Vial of Potent Blood,523
24295,Vial of Powerful Blood,125
24299,Intricate Totem,496
24300,Elaborate Totem,108
24304,Charged Core,19
24305,Charged Lodestone,2
24309,Onyx Core,11
24310,Onyx Lodestone,2
24314,Molten Core,13
24315,Molten Lodestone,2
24319,Glacial Core,8
24320,Glacial Lodestone,1
24324,Destroyer Core,13
24325,Destroyer Lodestone,1
24329,Crystal Core,14
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,13
24335,Pile of Putrid Essence,6
24339,Corrupted Core,11
24340,Corrupted Lodestone,1
24341,Large Bone,474
24350,Large Claw,491
24351,Vicious Claw,121
24356,Large Fang,477
24357,Vicious Fang,120
24358,Ancient Bone,135
