ID,Name,Quantity
19700,Mithril Ore,4793
19729,Thick Leather Section,2386
19732,Hardened Leather Section,716
19745,Gossamer Scrap,947
19748,Silk Scrap,3238
24276,Pile of Incandescent Dust,649
24277,Pile of Crystalline Dust,175
24282,Potent Venom Sac,644
24283,Powerful Venom Sac,147
24288,Large Scale,659
24289,Armored Scale,182
24294,Vial of Potent Blood,663
24295,Vial of Powerful Blood,153
24299,Intricate Totem,639
24300,Elaborate Totem,166
24304,Charged Core,17
24305,Charged Lodestone,4
24309,Onyx Core,17
24310,Onyx Lodestone,1
24314,Molten Core,15
24315,Molten Lodestone,4
24319,Glacial Core,14
24320,Glacial Lodestone,1
24324,Destroyer Core,16
24325,Destroyer Lodestone,3
24329,Crystal Core,20
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,16
24335,Pile of Putrid Essence,4
24339,Corrupted Core,18
24340,Corrupted Lodestone,2
24341,Large Bone,660
24350,Large Claw,622
24351,Vicious Claw,154
24356,Large Fang,648
24357,Vicious Fang,174
24358,Ancient Bone,156
