ID,Name,Quantity
19700,Mithril Ore,3181
19729,Thick Leather Section,1581
19732,Hardened Leather Section,473
19745,Gossamer Scrap,665
19748,Silk Scrap,2027
24276,Pile of Incandescent Dust,436
24277,Pile of Crystalline Dust,95
24282,Potent Venom Sac,473
24283,Powerful Venom Sac,92
24288,Large Scale,452
24289,Armored Scale,115
24294,Vial of Potent Blood,435
24295,Vial of Powerful Blood,98
24299,Intricate Totem,419
24300,Elaborate Totem,104
24304,Charged Core,13
24305,Charged Lodestone,1
24309,Onyx Core,6
24310,Onyx Lodestone,2
24314,Molten Core,17
24315,Molten Lodestone,2
24319,Glacial Core,9
24320,Glacial Lodestone,2
24324,Destroyer Core,13
24325,Destroyer Lodestone,1
24329,Crystal Core,11
24330,Crystal Lodestone,3
24334,Pile of Vile Essence,9
24335,Pile of Putrid Essence,3
24339,Corrupted Core,12
24341,Large Bone,383
24350,Large Claw,439
24351,Vicious Claw,115
24356,Large Fang,435
24357,Vicious Fang,100
24358,Ancient Bone,120
