ID,Name,Quantity
19700,Mithril Ore,6845
19729,Thick Leather Section,3385
19732,Hardened Leather Section,1047
19745,Gossamer Scrap,1371
19748,Silk Scrap,4473
24276,Pile of Incandescent Dust,935
24277,Pile of Crystalline Dust,228
24282,Potent Venom Sac,931
24283,Powerful Venom Sac,231
24288,Large Scale,946
24289,Armored Scale,249
24294,Vial of Potent Blood,876
24295,Vial of Powerful Blood,235
24299,Intricate Totem,939
24300,Elaborate Totem,214
24304,Charged Core,19
24305,Charged Lodestone,7
24309,Onyx Core,19
24310,Onyx Lodestone,1
24314,Molten Core,25
24315,Molten Lodestone,3
24319,Glacial Core,18
24320,Glacial Lodestone,3
24324,Destroyer Core,27
24325,Destroyer Lodestone,5
24329,Crystal Core,20
24330,Crystal Lodestone,3
24334,Pile of Vile Essence,28
24335,Pile of Putrid Essence,3
24339,Corrupted Core,19
24340,Corrupted Lodestone,4
24341,Large Bone,972
24350,Large Claw,913
24351,Vicious Claw,229
24356,Large Fang,929
24357,Vicious Fang,235
24358,Ancient Bone,254
