ID,Name,Quantity
19700,Mithril Ore,2565
19729,Thick Leather Section,1431
19732,Hardened Leather Section,389
19745,Gossamer Scrap,487
19748,Silk Scrap,1706
24276,Pile of Incandescent Dust,315
24277,Pile of Crystalline Dust,89
24282,Potent Venom Sac,344
24283,Powerful Venom Sac,84
24288,Large Scale,345
24289,Armored Scale,75
24294,Vial of Potent Blood,339
24295,Vial of Powerful Blood,87
24299,Intricate Totem,363
24300,Elaborate Totem,87
24304,Charged Core,3
24305,Charged Lodestone,1
24309,Onyx Core,5
24310,Onyx Lodestone,1
24314,Molten Core,8
24319,Glacial Core,11
24324,Destroyer Core,11
24325,Destroyer Lodestone,1
24329,Crystal Core,8
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,9
24335,Pile of Putrid Essence,1
24339,Corrupted Core,9
24341,Large Bone,328
24350,Large Claw,328
24351,Vicious Claw,95
24356,Large Fang,366
24357,Vicious Fang,80
24358,Ancient Bone,95
