ID,Name,Quantity
19700,Mithril Ore,2768
19729,Thick Leather Section,1400
19732,Hardened Leather Section,437
19745,Gossamer Scrap,548
19748,Silk Scrap,1847
24276,Pile of Incandescent Dust,337
24277,Pile of Crystalline Dust,78
24282,Potent Venom Sac,367
24283,Powerful Venom Sac,105
24288,Large Scale,363
24289,Armored Scale,90
24294,Vial of Potent Blood,411
24295,Vial of Powerful Blood,93
24299,Intricate Totem,370
24300,Elaborate Totem,89
24304,Charged Core,7
24305,Charged Lodestone,6
24309,Onyx Core,11
24310,Onyx Lodestone,1
24314,Molten Core,9
24319,Glacial Core,9
24324,Destroyer Core,7
24329,Crystal Core,10
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,8
24339,Corrupted Core,15
24341,Large Bone,346
24350,Large Claw,375
24351,Vicious Claw,103
24356,Large Fang,363
24357,Vicious Fang,82
24358,Ancient Bone,101
