ID,Name,Quantity
19700,Mithril Ore,8887
19729,Thick Leather Section,4630
19732,Hardened Leather Section,1357
19745,Gossamer Scrap,1866
19748,Silk Scrap,6119
24276,Pile of Incandescent Dust,1180
24277,Pile of Crystalline Dust,256
24282,Potent Venom Sac,1199
24283,Powerful Venom Sac,308
24288,Large Scale,1179
24289,Armored Scale,298
24294,Vial of Potent Blood,1218
24295,Vial of Powerful Blood,307
24299,Intricate Totem,1204
24300,Elaborate Totem,281
24304,Charged Core,31
24305,Charged Lodestone,3
24309,Onyx Core,22
24310,Onyx Lodestone,4
24314,Molten Core,29
24315,Molten Lodestone,6
24319,Glacial Core,27
24320,Glacial Lodestone,3
24324,Destroyer Core,30
24325,Destroyer Lodestone,4
24329,Crystal Core,17
24330,Crystal Lodestone,5
24334,Pile of Vile Essence,33
24335,Pile of Putrid Essence,2
24339,Corrupted Core,26
24340,Corrupted Lodestone,4
24341,Large Bone,1231
24350,Large Claw,1199
24351,Vicious Claw,287
24356,Large Fang,1195
24357,Vicious Fang,314
24358,Ancient Bone,276
