ID,Name,Quantity
19700,Mithril Ore,8333
19729,Thick Leather Section,3998
19732,Hardened Leather Section,1267
19745,Gossamer Scrap,1608
19748,Silk Scrap,5542
24276,Pile of Incandescent Dust,1128
24277,Pile of Crystalline Dust,280
24282,Potent Venom Sac,1077
24283,Powerful Venom Sac,284
24288,Large Scale,1089
24289,Armored Scale,263
24294,Vial of Potent Blood,1117
24295,Vial of Powerful Blood,269
24299,Intricate Totem,1090
24300,Elaborate Totem,279
24304,Charged Core,34
24305,Charged Lodestone,6
24309,Onyx Core,28
24310,Onyx Lodestone,3
24314,Molten Core,27
24315,Molten Lodestone,5
24319,Glacial Core,27
24320,Glacial Lodestone,5
24324,Destroyer Core,21
24325,Destroyer Lodestone,6
24329,Crystal Core,26
24330,Crystal Lodestone,8
24334,Pile of Vile Essence,30
24335,Pile of Putrid Essence,2
24339,Corrupted Core,22
24340,Corrupted Lodestone,1
24341,Large Bone,1161
24350,Large Claw,1157
24351,Vicious Claw,277
24356,Large Fang,1054
24357,Vicious Fang,272
24358,Ancient Bone,276
