ID,Name,Quantity
24358,Ancient Bone,77
24289,Armored Scale,85
24304,Charged Core,6
24339,Corrupted Core,7
24340,Corrupted Lodestone,1
24329,Crystal Core,7
24324,Destroyer Core,4
24300,Elaborate Totem,86
24319,Glacial Core,7
19745,Gossamer Scrap,479
19732,Hardened Leather Section,348
24299,Intricate Totem,326
24341,Large Bone,333
24350,Large Claw,304
24356,Large Fang,309
24288,Large Scale,308
19700,Mithril Ore,2438
24314,Molten Core,7
24315,Molten Lodestone,2
24309,Onyx Core,9
24310,Onyx Lodestone,1
24277,Pile of Crystalline Dust,72
24276,Pile of Incandescent Dust,336
24335,Pile of Putrid Essence,2
24334,Pile of Vile Essence,8
24282,Potent Venom Sac,360
24283,Powerful Venom Sac,82
19748,Silk Scrap,1540
19729,Thick Leather Section,1215
24294,Vial of Potent Blood,343
24295,Vial of Powerful Blood,75
24351,Vicious Claw,74
24357,Vicious Fang,69
