ID,Name,Quantity
19700,Mithril Ore,2655
19729,Thick Leather Section,1236
19732,Hardened Leather Section,413
19745,Gossamer Scrap,578
19748,Silk Scrap,1701
24276,Pile of Incandescent Dust,358
24277,Pile of Crystalline Dust,100
24282,Potent Venom Sac,347
24283,Powerful Venom Sac,85
24288,Large Scale,344
24289,Armored Scale,104
24294,Vial of Potent Blood,295
24295,Vial of Powerful Blood,84
24299,Intricate Totem,349
24300,Elaborate Totem,86
24304,Charged Core,10
24305,Charged Lodestone,1
24309,Onyx Core,4
24310,Onyx Lodestone,1
24314,Molten Core,8
24315,Molten Lodestone,1
24319,Glacial Core,4
24320,Glacial Lodestone,3
24324,Destroyer Core,3
24329,Crystal Core,5
24334,Pile of Vile Essence,9
24335,Pile of Putrid Essence,3
24339,Corrupted Core,6
24340,Corrupted Lodestone,1
24341,Large Bone,309
24350,Large Claw,380
24351,Vicious Claw,88
24356,Large Fang,343
24357,Vicious Fang,81
24358,Ancient Bone,82
