ID,Name,Quantity
24358,Ancient Bone,61
24289,Armored Scale,69
24304,Charged Core,4
24305,Charged Lodestone,3
24339,Corrupted Core,7
24340,Corrupted Lodestone,2
24329,Crystal Core,3
24324,Destroyer Core,7
24325,Destroyer Lodestone,1
24300,Elaborate Totem,61
24319,Glacial Core,6
19745,Gossamer Scrap,392
19732,Hardened Leather Section,325
24299,Intricate Totem,269
24341,Large Bone,275
24350,Large Claw,286
24356,Large Fang,285
24288,Large Scale,277
19700,Mithril Ore,2060
24314,Molten Core,3
24309,Onyx Core,13
24310,Onyx Lodestone,2
24277,Pile of Crystalline Dust,78
24276,Pile of Incandescent Dust,249
24335,Pile of Putrid Essence,3
24334,Pile of Vile Essence,7
24282,Potent Venom Sac,286
24283,Powerful Venom Sac,77
19748,Silk Scrap,1370
19729,Thick Leather Section,1045
24294,Vial of Potent Blood,297
24295,Vial of Powerful Blood,65
24351,Vicious Claw,64
24357,Vicious Fang,67
