ID,Name,Quantity
19700,Mithril Ore,6618
19729,Thick Leather Section,3197
19732,Hardened Leather Section,932
19745,Gossamer Scrap,1282
19748,Silk Scrap,4375
24276,Pile of Incandescent Dust,831
24277,Pile of Crystalline Dust,197
24282,Potent Venom Sac,877
24283,Powerful Venom Sac,205
24288,Large Scale,859
24289,Armored Scale,240
24294,Vial of Potent Blood,900
24295,Vial of Powerful Blood,212
24299,Intricate Totem,871
24300,Elaborate Totem,193
24304,Charged Core,23
24305,Charged Lodestone,3
24309,Onyx Core,17
24310,Onyx Lodestone,2
24314,Molten Core,25
24315,Molten Lodestone,1
24319,Glacial Core,21
24320,Glacial Lodestone,4
24324,Destroyer Core,20
24325,Destroyer Lodestone,4
24329,Crystal Core,18
24330,Crystal Lodestone,1
24334,Pile of Vile Essence,25
24339,Corrupted Core,21
24340,Corrupted Lodestone,2
24341,Large Bone,945
24350,Large Claw,894
24351,Vicious Claw,210
24356,Large Fang,891
24357,Vicious Fang,233
24358,Ancient Bone,217
