ID,Name,Quantity
19700,Mithril Ore,6987
19729,Thick Leather Section,3473
19732,Hardened Leather Section,1125
19745,Gossamer Scrap,1369
19748,Silk Scrap,4579
24276,Pile of Incandescent Dust,906
24277,Pile of Crystalline Dust,226
24282,Potent Venom Sac,969
24283,Powerful Venom Sac,229
24288,Large Scale,918
24289,Armored Scale,242
24294,Vial of Potent Blood,910
24295,Vial of Powerful Blood,253
24299,Intricate Totem,927
24300,Elaborate Totem,240
24304,Charged Core,17
24305,Charged Lodestone,7
24309,Onyx Core,22
24310,Onyx Lodestone,7
24314,Molten Core,23
24315,Molten Lodestone,1
24319,Glacial Core,16
24320,Glacial Lodestone,2
24324,Destroyer Core,35
24325,Destroyer Lodestone,6
24329,Crystal Core,21
24330,Crystal Lodestone,5
24334,Pile of Vile Essence,19
24335,Pile of Putrid Essence,2
24339,Corrupted Core,27
24340,Corrupted Lodestone,5
24341,Large Bone,844
24350,Large Claw,857
24351,Vicious Claw,237
24356,Large Fang,919
24357,Vicious Fang,239
24358,Ancient Bone,242
