ID,Name,Quantity
19700,Mithril Ore,8698
19729,Thick Leather Section,4411
19732,Hardened Leather Section,1265
19745,Gossamer Scrap,1736
19748,Silk Scrap,5701
24276,Pile of Incandescent Dust,1136
24277,Pile of Crystalline Dust,297
24282,Potent Venom Sac,1136
24283,Powerful Venom Sac,262
24288,Large Scale,1109
24289,Armored Scale,290
24294,Vial of Potent Blood,1060
24295,Vial of Powerful Blood,263
24299,Intricate Totem,1167
24300,Elaborate Totem,305
24304,Charged Core,26
24305,Charged Lodestone,2
24309,Onyx Core,35
24310,Onyx Lodestone,5
24314,Molten Core,25
24315,Molten Lodestone,7
24319,Glacial Core,28
24320,Glacial Lodestone,5
24324,Destroyer Core,30
24325,Destroyer Lodestone,3
24329,Crystal Core,25
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,24
24335,Pile of Putrid Essence,4
24339,Corrupted Core,29
24340,Corrupted Lodestone,6
24341,Large Bone,1195
24350,Large Claw,1176
24351,Vicious Claw,289
24356,Large Fang,1173
24357,Vicious Fang,274
24358,Ancient Bone,306
