ID,Name,Quantity
19700,Mithril Ore,3601
19729,Thick Leather Section,1802
19732,Hardened Leather Section,559
19745,Gossamer Scrap,726
19748,Silk Scrap,2451
24276,Pile of Incandescent Dust,518
24277,Pile of Crystalline Dust,126
24282,Potent Venom Sac,502
24283,Powerful Venom Sac,115
24288,Large Scale,470
24289,Armored Scale,117
24294,Vial of Potent Blood,442
24295,Vial of Powerful Blood,137
24299,Intricate Totem,474
24300,Elaborate Totem,101
24304,Charged Core,13
24305,Charged Lodestone,3
24309,Onyx Core,8
24310,Onyx Lodestone,2
24314,Molten Core,11
24319,Glacial Core,14
24320,Glacial Lodestone,4
24324,Destroyer Core,13
24325,Destroyer Lodestone,3
24329,Crystal Core,12
24330,Crystal Lodestone,2
24334,Pile of Vile Essence,8
24335,Pile of Putrid Essence,1
24339,Corrupted Core,9
24340,Corrupted Lodestone,2
24341,Large Bone,505
24350,Large Claw,479
24351,Vicious Claw,115
24356,Large Fang,484
24357,Vicious Fang,130
24358,Ancient Bone,117
